beta,outlierRatio,repeat,seed,Ncorr,Ns,trueTLS,bestASBS_TLS,bestRandom_TLS,bestASBS_rotErrDeg,bestRandom_rotErrDeg,medianSample_rotErrDeg,fracSamplesBelow5Deg,fracSamplesBelow10Deg,activeCount,trueInliersActive,trueOutliersClipped,lossUFinal,lossHFinal,bestTrainFinal,bestTrainOverall
0.5,0.25,2,226150,1000,500,3493.68465619011,3537.13860542657,7049.12668966191,1.78208630874958,24.9085587478684,15.3921457892006,0.046,0.202,732,727,245,19195568,11.9708700180054,3544.0431204444,3493.29720472879
0.5,0.25,2,226150,1000,1000,3493.68465619011,3495.226818761,6976.9924135523,0.52299130441576,24.6434780226776,15.6319156972889,0.044,0.197,728,724,246,19195568,11.9708700180054,3544.0431204444,3493.29720472879
0.5,0.25,2,226150,1000,2500,3493.68465619011,3495.226818761,3880.79886920266,0.52299130441576,5.44833984433165,15.4171221105134,0.0352,0.1936,728,724,246,19195568,11.9708700180054,3544.0431204444,3493.29720472879
0.5,0.25,2,226150,1000,5000,3493.68465619011,3495.226818761,3880.79886920266,0.52299130441576,5.44833984433165,15.4424683798831,0.0354,0.1936,728,724,246,19195568,11.9708700180054,3544.0431204444,3493.29720472879
0.5,0.25,2,226150,1000,10000,3493.68465619011,3495.226818761,3880.79886920266,0.52299130441576,5.44833984433165,15.6201748671107,0.0313,0.1905,728,724,246,19195568,11.9708700180054,3544.0431204444,3493.29720472879
1,0.25,2,226200,1000,500,3438.59156110397,3512.38104550949,6415.35932952713,2.28519585426671,19.1104294347735,15.4572945588298,0.024,0.232,737,731,244,80431032,11.5755319595337,3488.46872987036,3437.46880174235
1,0.25,2,226200,1000,1000,3438.59156110397,3460.012460149,6005.19543912445,1.06853146591286,16.5555326719075,15.4930655343163,0.027,0.212,736,731,245,80431032,11.5755319595337,3488.46872987036,3437.46880174235
1,0.25,2,226200,1000,2500,3438.59156110397,3449.93167944028,4105.73533580279,1.1912935964793,7.64279887232142,15.3965618165416,0.0316,0.2096,739,734,245,80431032,11.5755319595337,3488.46872987036,3437.46880174235
1,0.25,2,226200,1000,5000,3438.59156110397,3449.93167944028,3789.79795292429,1.1912935964793,5.2786723252925,15.2261487576275,0.0306,0.21,739,734,245,80431032,11.5755319595337,3488.46872987036,3437.46880174235
1,0.25,2,226200,1000,10000,3438.59156110397,3449.93167944028,3789.79795292429,1.1912935964793,5.2786723252925,15.2252480969059,0.0303,0.2039,739,734,245,80431032,11.5755319595337,3488.46872987036,3437.46880174235
2,0.25,2,226300,1000,500,3474.73887959262,3511.12308677837,5044.18678492212,1.95241529233112,11.6602802405484,15.8497747551423,0.032,0.19,731,730,249,322295520,12.0518226623535,3498.1518274067,3473.90915047477
2,0.25,2,226300,1000,1000,3474.73887959262,3511.12308677837,5044.18678492212,1.95241529233112,11.6602802405484,15.9886213230792,0.03,0.195,731,730,249,322295520,12.0518226623535,3498.1518274067,3473.90915047477
2,0.25,2,226300,1000,2500,3474.73887959262,3502.40315659831,5044.18678492212,1.33700734895298,11.6602802405484,15.8711636949707,0.026,0.19,735,734,249,322295520,12.0518226623535,3498.1518274067,3473.90915047477
2,0.25,2,226300,1000,5000,3474.73887959262,3502.40315659831,5044.18678492212,1.33700734895298,11.6602802405484,15.8052240070252,0.0272,0.1916,735,734,249,322295520,12.0518226623535,3498.1518274067,3473.90915047477
2,0.25,2,226300,1000,10000,3474.73887959262,3478.36863538079,3659.66573740506,0.375781662236455,4.01981994225764,15.8543493221353,0.0293,0.1931,735,734,249,322295520,12.0518226623535,3498.1518274067,3473.90915047477
4,0.25,2,226500,1000,500,3310.55299649245,3313.06573282856,7255.96779551456,0.762955087046763,27.148198348736,15.3337781084268,0.042,0.214,749,742,243,1482110720,11.8726234436035,3438.59359690978,3311.00863125793
4,0.25,2,226500,1000,1000,3310.55299649245,3313.06573282856,6005.71502802161,0.762955087046763,17.0768981385688,15.1781812735828,0.038,0.208,749,742,243,1482110720,11.8726234436035,3438.59359690978,3311.00863125793
4,0.25,2,226500,1000,2500,3310.55299649245,3313.06573282856,5417.1718678151,0.762955087046763,13.8198857143655,15.2610249771882,0.0296,0.2028,749,742,243,1482110720,11.8726234436035,3438.59359690978,3311.00863125793
